epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6823,9.999999747378752e-05,0.6061434149742126,0.7125,0.5423
1,0.7312,9.999999747378752e-05,0.5280315911769867,0.7433,0.4821
2,0.7534,9.999999747378752e-05,0.4852465224266052,0.7650,0.4213
3,0.7698,9.999999747378752e-05,0.4470025730133057,0.7766,0.3981
4,0.7821,9.999999747378752e-05,0.4207539200782776,0.7883,0.3754
5,0.7936,9.999999747378752e-05,0.3926595592498779,0.7933,0.3597
6,0.8049,9.999999747378752e-05,0.3759760105609894,0.8058,0.3349
7,0.8109,9.999999747378752e-05,0.3579066646099091,0.8116,0.3206
8,0.8129,9.999999747378752e-05,0.3434160655736923,0.8158,0.3103
9,0.8218,9.999999747378752e-05,0.3276387459039688,0.8250,0.2915
10,0.8198,9.999999747378752e-05,0.3150111794471741,0.8241,0.2896
11,0.8232,9.999999747378752e-05,0.3091477066278458,0.8266,0.2804
12,0.8225,9.999999747378752e-05,0.3085687965154648,0.8225,0.2788
13,0.8222,9.999999747378752e-05,0.3000551873445511,0.8266,0.2707
14,0.8222,9.999999747378752e-05,0.2975245976448059,0.8299,0.2678
15,0.8267,9.999999747378752e-05,0.2923000866174698,0.8324,0.2577
16,0.8268,9.999999747378752e-05,0.2859725618362427,0.8241,0.2622
17,0.8335,9.999999747378752e-05,0.2744684928655624,0.8299,0.2615
18,0.8259,9.999999747378752e-05,0.2762499618530273,0.8266,0.2644
19,0.8323,4.999999873689376e-05,0.2666296082735062,0.8191,0.2578
20,0.8148,9.999999747378752e-06,0.2690675580501556,0.8175,0.2437
21,0.8247,9.999999747378752e-06,0.2651293671131134,0.8308,0.2357
22,0.8313,9.999999747378752e-06,0.2546098166704178,0.8491,0.2293
23,0.8374,9.999999747378752e-06,0.2521188018321991,0.8474,0.2293
24,0.8470,9.999999747378752e-06,0.2482891899347305,0.8533,0.2209
25,0.8464,9.999999747378752e-06,0.2381970804929733,0.8574,0.2173
26,0.8556,9.999999747378752e-06,0.2301837819814682,0.8817,0.1996
