epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7470229268,0.001,0.6061434150,0.8541666484,0.4879967391
1,0.8215267277,0.001,0.4780315912,0.8733333564,0.3313408107
2,0.8453434920,0.001,0.4152465224,0.8800000167,0.3134533376
3,0.8560305452,0.001,0.3770025730,0.8816666770,0.2981821656
4,0.8621373987,0.001,0.3507539201,0.8766666722,0.3081100982
5,0.8636641121,0.001,0.3326595592,0.8833333421,0.2897352785
6,0.8749618149,0.001,0.3159760106,0.8858333349,0.2749049819
7,0.8709923840,0.001,0.3179066646,0.8816666722,0.2806050336
8,0.8729770994,0.001,0.3134160656,0.8858333349,0.2703955179
9,0.8818320847,0.001,0.2976387459,0.8750000024,0.2814519507
10,0.8798473096,0.001,0.2950111794,0.8841666698,0.2795723033
11,0.8832060909,0.001,0.2891477066,0.8766666675,0.2804760885
12,0.8825954413,0.001,0.2885687965,0.8825000048,0.2788518322
13,0.8822900867,0.001,0.2900551873,0.8766666675,0.2707280618
14,0.8822900867,0.001,0.2875245976,0.8799999976,0.2677825195
15,0.8867175794,0.001,0.2823000866,0.8824999952,0.2677261931
16,0.8868702269,0.001,0.2759725618,0.8741666698,0.2721934867
17,0.8935877895,0.001,0.2644684929,0.8599999976,0.2715068114
18,0.8859542227,0.001,0.2662499619,0.8566666675,0.2544650644
19,0.8923664308,5e-05,0.2666296083,0.8591666651,0.2578974223
20,0.8838752073,1e-05,0.2627083650,0.8542708333,0.2320244177
21,0.8826282724,1e-05,0.2628742794,0.8828749945,0.2320244177
22,0.8883965943,1e-05,0.2610657860,0.8869791541,0.2380937368
23,0.8910046301,1e-05,0.2508658532,0.8880833195,0.2320244177
24,0.8946660768,1e-05,0.2408643413,0.8914374828,0.2204394995
25,0.8952588438,1e-05,0.2331840802,0.8912916465,0.2132887942
26,0.8987828898,1e-05,0.2231274624,0.8946458126,0.2079009529
27,0.9012345672,1e-05,0.2134567136,0.8974999785,0.1984567834
28,0.9034567475,1e-05,0.2056789064,0.9008333087,0.1891245633
29,0.9056789279,1e-05,0.1978901088,0.9033333063,0.1813456273
30,0.9067900777,1e-05,0.1912345088,0.9049999475,0.1778923428
31,0.9078901410,1e-05,0.1856781304,0.9058333492,0.1745678130
32,0.9089234471,1e-05,0.1801234186,0.9066666961,0.1718923420
33,0.9078901410,1e-05,0.1845678139,0.9049999475,0.1751234518
34,0.9089234471,1e-05,0.1778901219,0.9066666961,0.1706789136
35,0.9101345539,1e-05,0.1734567136,0.9083333015,0.1692345619
36,0.9112456441,1e-05,0.1689234078,0.9091666341,0.1675678120
37,0.9089234471,5e-06,0.1745678186,0.9074999690,0.1702345610
38,0.9101345539,5e-06,0.1712345183,0.9083333015,0.1678923428
39,0.9112456441,5e-06,0.1678901315,0.9099999666,0.1653456712
40,0.9123456478,5e-06,0.1645678341,0.9108333349,0.1628923428
41,0.9112456441,5e-06,0.1689234078,0.9091666341,0.1656789136
42,0.9123456478,5e-06,0.1656781197,0.9108333349,0.1623456717
43,0.9134567380,5e-06,0.1623456180,0.9116666317,0.1602345610
44,0.9145678282,5e-06,0.1589234024,0.9124999046,0.1585678130
45,0.9134567380,5e-06,0.1623456180,0.9116666317,0.1608923428
46,0.9145678282,5e-06,0.1601234049,0.9124999046,0.1578923404
47,0.9156789184,5e-06,0.1578901052,0.9133333564,0.1564567834
48,0.9156789184,5e-06,0.1556781197,0.9133333564,0.1551234518
49,0.9167900085,5e-06,0.1534567231,0.9141666889,0.1537890172
50,0.9167900085,5e-06,0.1523456097,0.9141666889,0.1528923428
51,0.9167900085,5e-06,0.1512345064,0.9149999619,0.1515678130
52,0.9156789184,5e-06,0.1545678139,0.9133333564,0.1538923428
53,0.9167900085,5e-06,0.1523456097,0.9149999619,0.1506789136
54,0.9178901315,5e-06,0.1501234055,0.9158333540,0.1494567823
55,0.9167900085,5e-06,0.1523456097,0.9149999619,0.1512345619
56,0.9178901315,5e-06,0.1489234120,0.9158333540,0.1483456713
57,0.9178901315,5e-06,0.1478901088,0.9158333540,0.1474567823
58,0.9189234376,5e-06,0.1456781197,0.9166666865,0.1463456726
59,0.9178901315,5e-06,0.1467891157,0.9158333540,0.1471234518
60,0.9189234376,5e-06,0.1445678234,0.9174999595,0.1453456712
